iter	Passed	Remaining
0	2	277
1	5	274
2	9	309
3	11	274
4	18	347
5	26	414
6	37	498
7	40	468
8	42	433
9	45	410
10	47	387
11	50	369
12	52	352
13	55	342
14	59	335
15	62	326
16	65	320
17	67	308
18	70	299
19	72	291
20	74	281
21	76	272
22	79	266
23	82	262
24	85	256
25	89	254
26	96	259
27	100	257
28	104	254
29	107	251
30	113	251
31	117	248
32	120	245
33	122	238
34	124	232
35	127	226
36	130	222
37	133	217
38	135	211
39	137	206
40	141	203
41	142	196
42	144	191
43	149	189
44	152	186
45	155	182
46	157	177
47	160	173
48	163	169
49	165	165
50	169	162
51	171	157
52	173	153
53	175	149
54	177	144
55	179	140
56	181	136
57	183	132
58	185	128
59	187	124
60	189	121
61	191	117
62	194	114
63	196	110
64	198	107
65	200	103
66	202	99
67	205	96
68	208	93
69	211	90
70	213	87
71	215	83
72	217	80
73	220	77
74	226	75
75	228	72
76	230	68
77	232	65
78	236	62
79	240	60
80	244	57
81	248	54
82	250	51
83	252	48
84	255	45
85	257	41
86	259	38
87	262	35
88	264	32
89	267	29
90	273	27
91	276	24
92	279	21
93	284	18
94	286	15
95	288	12
96	290	8
97	292	5
98	296	2
99	310	0
