iter	Passed	Remaining
0	130	130658
1	132	66156
2	134	44536
3	135	33746
4	136	27261
5	138	22926
6	140	19888
7	141	17601
8	143	15816
9	145	14375
10	146	13182
11	148	12206
12	149	11375
13	152	10721
14	154	10115
15	156	9594
16	157	9125
17	159	8693
18	161	8323
19	162	7977
20	164	7668
21	166	7396
22	168	7146
23	170	6924
24	172	6710
25	173	6515
26	175	6334
27	177	6157
28	178	5989
29	180	5831
30	182	5694
31	183	5564
32	185	5441
33	187	5336
34	189	5222
35	190	5110
36	192	5006
37	193	4908
38	195	4820
39	197	4740
40	198	4653
41	200	4578
42	202	4498
43	203	4421
44	204	4346
45	206	4276
46	207	4214
47	209	4148
48	210	4089
49	212	4032
50	213	3980
51	215	3925
52	216	3870
53	218	3819
54	219	3772
55	221	3726
56	222	3678
57	223	3632
58	225	3593
59	226	3551
60	228	3517
61	229	3475
62	231	3435
63	232	3396
64	233	3360
65	234	3322
66	235	3286
67	237	3252
68	238	3218
69	239	3188
70	241	3160
71	243	3132
72	244	3102
73	245	3072
74	246	3043
75	248	3016
76	249	2989
77	250	2961
78	251	2935
79	253	2909
80	254	2886
81	256	2867
82	256	2838
83	258	2817
84	259	2795
85	260	2773
86	262	2751
87	263	2732
88	265	2712
89	266	2692
90	267	2672
91	268	2652
92	270	2636
93	271	2620
94	273	2603
95	274	2587
96	276	2572
97	277	2554
98	278	2536
99	280	2520
100	281	2503
101	282	2487
102	284	2474
103	286	2464
104	287	2450
105	288	2435
106	289	2420
107	291	2404
108	292	2390
109	293	2376
110	294	2362
111	296	2349
112	297	2335
113	298	2322
114	300	2311
115	301	2300
116	302	2286
117	304	2274
118	305	2262
119	306	2249
120	308	2238
121	309	2224
122	310	2212
123	311	2200
124	312	2190
125	314	2178
126	315	2168
127	316	2158
128	318	2148
129	319	2139
130	321	2129
131	322	2118
132	323	2108
133	324	2097
134	325	2088
135	327	2078
136	328	2069
137	329	2060
138	331	2053
139	332	2045
140	334	2038
141	335	2026
142	336	2017
143	337	2007
144	339	1999
145	340	1990
146	341	1981
147	342	1973
148	344	1964
149	345	1957
150	346	1950
151	348	1944
152	349	1937
153	351	1929
154	352	1921
155	353	1913
156	354	1906
157	356	1898
158	357	1891
159	359	1885
160	360	1876
161	361	1869
162	363	1864
163	364	1858
164	366	1852
165	367	1846
166	368	1839
167	370	1832
168	371	1825
169	372	1819
170	373	1812
171	375	1806
172	377	1803
173	378	1798
174	380	1794
175	382	1788
176	383	1783
177	385	1778
178	386	1772
179	387	1767
180	389	1761
181	390	1756
182	392	1751
183	393	1746
184	395	1741
185	396	1735
186	397	1729
187	399	1724
188	400	1718
189	401	1712
190	403	1707
191	404	1702
192	406	1699
193	408	1695
194	409	1689
195	410	1684
196	412	1679
197	413	1675
198	415	1670
199	416	1665
200	417	1660
201	419	1655
202	420	1651
203	422	1646
204	423	1642
205	424	1637
206	426	1632
207	427	1627
208	428	1623
209	430	1618
210	431	1613
211	432	1609
212	434	1604
213	435	1600
214	437	1596
215	438	1592
216	440	1589
217	441	1584
218	443	1580
219	444	1575
220	445	1571
221	447	1567
222	448	1563
223	450	1558
224	451	1555
225	453	1551
226	454	1548
227	456	1544
228	457	1541
229	459	1537
230	460	1533
231	462	1529
232	463	1525
233	464	1521
234	466	1518
235	467	1514
236	469	1511
237	470	1507
238	471	1502
239	473	1499
240	474	1495
241	476	1491
242	477	1487
243	478	1483
244	480	1479
245	481	1476
246	483	1473
247	484	1469
248	486	1466
249	487	1462
250	488	1459
251	490	1455
252	491	1451
253	493	1448
254	494	1444
255	496	1442
256	497	1439
257	499	1435
258	500	1431
259	501	1428
260	503	1424
261	504	1422
262	506	1418
263	507	1415
264	509	1411
265	510	1408
266	511	1405
267	513	1401
268	514	1398
269	515	1394
270	517	1391
271	518	1388
272	519	1384
273	521	1381
274	522	1378
275	524	1374
276	525	1372
277	527	1369
278	528	1366
279	530	1363
280	531	1360
281	533	1357
282	534	1354
283	535	1351
284	537	1348
285	538	1345
286	540	1343
287	542	1340
288	543	1338
289	545	1335
290	547	1333
291	548	1330
292	550	1327
293	551	1325
294	553	1322
295	554	1319
296	556	1316
297	557	1313
298	559	1311
299	560	1308
300	562	1306
301	563	1303
302	565	1300
303	566	1297
304	568	1294
305	569	1291
306	571	1289
307	572	1287
308	574	1284
309	576	1282
310	577	1279
311	579	1276
312	580	1273
313	581	1270
314	583	1267
315	584	1265
316	586	1263
317	588	1261
318	590	1259
319	591	1257
320	593	1254
321	594	1252
322	596	1249
323	598	1248
324	599	1245
325	601	1242
326	602	1240
327	604	1237
328	605	1235
329	607	1232
330	608	1229
331	609	1227
332	611	1224
333	612	1220
334	613	1217
335	615	1215
336	616	1213
337	618	1210
338	619	1208
339	621	1205
340	622	1203
341	624	1200
342	625	1197
343	626	1195
344	628	1192
345	629	1189
346	631	1188
347	633	1186
348	634	1183
349	636	1181
350	637	1179
351	639	1176
352	640	1174
353	642	1171
354	643	1168
355	644	1165
356	646	1163
357	647	1161
358	649	1159
359	650	1157
360	652	1154
361	653	1151
362	655	1149
363	656	1146
364	657	1144
365	658	1141
366	660	1139
367	662	1137
368	664	1135
369	665	1133
370	667	1131
371	668	1128
372	670	1126
373	671	1124
374	673	1121
375	674	1118
376	675	1116
377	677	1114
378	678	1112
379	680	1109
380	681	1107
381	682	1104
382	684	1102
383	686	1100
384	687	1098
385	688	1095
386	689	1092
387	691	1090
388	693	1088
389	694	1086
390	696	1084
391	697	1081
392	698	1079
393	700	1076
394	701	1074
395	702	1072
396	704	1069
397	705	1066
398	707	1065
399	709	1063
400	710	1061
401	711	1059
402	713	1057
403	715	1055
404	716	1053
405	717	1050
406	719	1047
407	720	1045
408	722	1044
409	724	1042
410	725	1040
411	727	1038
412	729	1036
413	730	1034
414	732	1032
415	733	1029
416	734	1027
417	736	1025
418	737	1023
419	739	1021
420	740	1018
421	742	1016
422	743	1014
423	745	1012
424	746	1010
425	747	1007
426	749	1005
427	750	1002
428	751	1000
429	753	998
430	755	996
431	756	994
432	758	992
433	759	990
434	761	988
435	762	986
436	763	984
437	765	981
438	767	980
439	769	978
440	770	976
441	771	974
442	773	972
443	774	969
444	775	967
445	776	964
446	778	962
447	779	960
448	780	957
449	782	956
450	784	954
451	785	952
452	787	950
453	788	948
454	790	946
455	791	944
456	792	941
457	793	939
458	795	937
459	796	935
460	798	933
461	799	931
462	801	929
463	802	927
464	804	925
465	805	923
466	807	921
467	808	919
468	809	916
469	811	914
470	813	913
471	814	911
472	816	909
473	818	907
474	819	905
475	820	903
476	822	901
477	823	899
478	824	896
479	825	894
480	827	892
481	829	891
482	830	889
483	832	887
484	834	885
485	835	884
486	837	882
487	838	880
488	840	878
489	842	876
490	843	874
491	845	872
492	846	870
493	848	868
494	849	866
495	850	864
496	852	862
497	853	860
498	855	858
499	856	856
500	858	855
501	860	853
502	861	851
503	863	849
504	864	847
505	866	845
506	867	843
507	869	841
508	870	840
509	872	838
510	873	836
511	875	834
512	877	832
513	878	830
514	879	828
515	880	826
516	882	824
517	883	821
518	884	820
519	886	818
520	887	816
521	889	814
522	890	812
523	892	810
524	893	808
525	895	806
526	896	804
527	898	802
528	899	800
529	900	798
530	902	797
531	904	795
532	905	793
533	907	791
534	908	789
535	910	787
536	911	785
537	912	783
538	914	781
539	915	779
540	917	778
541	918	776
542	920	774
543	921	772
544	923	770
545	924	768
546	926	766
547	927	765
548	929	763
549	930	761
550	932	759
551	933	757
552	934	755
553	936	753
554	937	751
555	939	749
556	940	747
557	941	745
558	942	743
559	944	741
560	945	740
561	947	738
562	948	736
563	950	734
564	951	732
565	953	730
566	954	729
567	956	727
568	958	725
569	959	724
570	962	722
571	964	721
572	966	719
573	967	718
574	969	716
575	971	714
576	972	713
577	974	711
578	976	709
579	978	708
580	979	706
581	982	705
582	983	703
583	985	701
584	986	700
585	988	698
586	990	696
587	992	695
588	993	693
589	995	691
590	996	689
591	998	688
592	999	686
593	1001	684
594	1002	682
595	1004	680
596	1007	679
597	1008	678
598	1010	676
599	1012	674
600	1013	673
601	1015	671
602	1016	669
603	1018	667
604	1020	666
605	1022	665
606	1024	663
607	1026	661
608	1027	659
609	1029	658
610	1030	656
611	1032	654
612	1034	652
613	1035	651
614	1037	649
615	1038	647
616	1040	645
617	1041	644
618	1043	642
619	1044	640
620	1046	638
621	1047	636
622	1049	635
